"task_id","unit_id","assignment_id","session_id","dt_start","key"
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841786403,71
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841786931,69
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841787368,84
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841787923,71
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841788627,79
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841833746,84
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841834494,65
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841835413,76
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841836978,32
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841837644,76
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841838564,77
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841839432,65
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841839940,68
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841840460,71
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841841151,69
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841861989,32
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841862830,99
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841863323,102
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841863734,101
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841864076,103
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841874100,32
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841876335,49
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841877646,56
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841878962,53
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841884190,87
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841884611,69
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841884944,83
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841885696,84
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841886205,32
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841887305,65
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841888895,86
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841889760,69
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841901105,97
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841901488,98
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841901987,111
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841902427,97
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841902717,100
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841903028,111
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841903477,98
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841903830,96
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841905325,96
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841905771,104
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841988350,101
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841988761,110
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841989354,104
854546,861948358," 4d3084cb-68c3-4c5c-bfaa-fb4f0c4c9e7f",821484,1453841989607,104
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520302,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520803,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520834,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520868,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520903,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520932,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843520968,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843521059,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843521060,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843522222,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843522725,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843522757,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843522790,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843523562,38
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843524393,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843524872,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843524876,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843524945,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843525204,40
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843525944,38
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843526275,38
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843526499,38
854546,867354612," 2278e413-2459-4a50-bdd7-7eeaef344946",58331,1453843526730,38
